kb_window,hits_per_kb
62000.0,25
66000.0,23
39000.0,20
67000.0,19
74000.0,19
79000.0,18
36000.0,18
69000.0,18
31000.0,18
16000.0,17
90000.0,17
55000.0,16
75000.0,16
45000.0,16
33000.0,16
57000.0,16
32000.0,16
95000.0,15
37000.0,15
72000.0,15
13000.0,14
97000.0,14
46000.0,14
44000.0,14
63000.0,14
61000.0,14
50000.0,14
71000.0,14
87000.0,13
25000.0,13
34000.0,13
99000.0,13
82000.0,13
51000.0,13
65000.0,13
43000.0,13
41000.0,13
81000.0,13
59000.0,12
60000.0,12
23000.0,12
76000.0,12
40000.0,12
52000.0,12
42000.0,11
49000.0,11
73000.0,11
83000.0,11
91000.0,11
38000.0,11
53000.0,11
64000.0,11
18000.0,11
96000.0,10
78000.0,10
84000.0,10
58000.0,10
70000.0,10
56000.0,10
54000.0,10
21000.0,10
8000.0,10
68000.0,10
27000.0,9
98000.0,9
48000.0,9
92000.0,9
17000.0,9
86000.0,9
88000.0,9
94000.0,9
6000.0,8
29000.0,8
35000.0,8
24000.0,8
19000.0,7
22000.0,7
12000.0,7
47000.0,7
30000.0,7
1000.0,6
7000.0,6
20000.0,6
28000.0,6
89000.0,6
85000.0,6
15000.0,6
77000.0,6
93000.0,6
0.0,5
2000.0,5
4000.0,5
14000.0,4
11000.0,4
3000.0,4
9000.0,3
5000.0,3
10000.0,3
80000.0,2
26000.0,1
